תחום,תהליך,5 צעדים עיקריים,מערכת עיקרית,בעלים,סטטוס,תאריך עדכון,צריך אישור נדב,הערה
גבייה,סגירת אירוע מזדמנים,קליטת אירוע > אימות פרטים > הפקת חשבון > מעקב תשלום > סגירה,Pickspace + SUMIT,קובי,בתהליך,13/02/2026,לא,להשלים תבנית חריגות
גבייה,חיוב הוראת קבע חודשי,הכנת רשימת חיוב > הרצת חיוב > בדיקת תוצאות > טיפול בשגיאות > סגירת מחזור,SUMIT,קובי,בתהליך,13/02/2026,כן,נדרש אישור לפני העלאה לייצור
גבייה,טיפול בחזרות,זיהוי חזרה > פתיחת משימה > יצירת קשר > הסדרת תשלום > סגירה,SUMIT + בנק,קובי,חדש,13/02/2026,לא,להגדיר SLA טיפול
גבייה,שליחת חשבוניות חודשיות,איסוף חיובים > הפקת מסמכים > שליחה > אימות קבלה > תיעוד,SUMIT,קובי,בתהליך,13/02/2026,לא,להוסיף בקרה לחוסרים
גבייה,מעקב חובות 30/60/90,סיווג חוב > תזכורת 30 > אסקלציה 60 > טיפול 90 > החלטה,Monday + SUMIT,קובי,חדש,13/02/2026,כן,נדרש נוהל אסקלציה חתום
מכירות,קליטת ליד חדש,קליטת ליד > שיוך מקור > סיווג > שיחת פתיחה > תיעוד תוצאה,Monday,מנהל מכירות,בתהליך,13/02/2026,לא,להשלים שדות חובה בליד
מכירות,פגישת התאמה והצעה,אבחון צורך > התאמת מוצר > הכנת הצעה > הצגה ללקוח > מעקב,Monday + Docs,מנהל מכירות,חדש,13/02/2026,לא,להוסיף תבנית הצעה אחידה
מכירות,סגירת עסקה וחתימה,משא ומתן > אישור תנאים > חתימה > פתיחת לקוח > העברת מקל,Monday + Drive,מנהל מכירות,חדש,13/02/2026,כן,נדרש אישור לעסקאות חריגות
מכירות,העברה לתפעול,סיכום עסקה > פתיחת פרופיל > הקצאת בעלים > תיאום התחלה > אישור קליטה,Monday + Pickspace,מנהל מכירות,בתהליך,13/02/2026,לא,לצמצם עיכוב בהעברה
מכירות,מעקב הצעות פתוחות,רשימת פתוחות > תעדוף > פולואפ > עדכון סטטוס > סגירה,Monday,מנהל מכירות,מוכן לאישור,13/02/2026,כן,מוכן להטמעה רחבה
שיווק,תכנון קמפיין חודשי,בחירת יעד > תקציב > מסרים > הקמה > אישור,כלי פרסום + Sheets,מנהלת שיווק,בתהליך,13/02/2026,כן,אישור תקציב חודשי
שיווק,ניהול לידים נכנסים,קליטה > ניקוי כפילויות > דירוג > מסירה למכירות > מעקב,כלי פרסום + Monday,מנהלת שיווק,חדש,13/02/2026,לא,להגדיר איכות ליד
שיווק,מדידת המרות קמפיין,איסוף נתונים > חישוב CPL > חישוב המרה > השוואה ליעד > סיכום,Sheets + BI,מנהלת שיווק,בתהליך,13/02/2026,לא,להוסיף דוח שבועי
שיווק,אופטימיזציית קמפיינים,איתור פער > שינוי תקציב > שינוי מסרים > בדיקה > נעילה,כלי פרסום,מנהלת שיווק,חדש,13/02/2026,כן,נדרש אישור לשינוי גדול
שיווק,תיאום שיווק מכירות,ישיבת תיאום > הגדרת MQL > SLA מסירה > בקרה > שיפור,Monday + Sheets,מנהלת שיווק,מוכן לאישור,13/02/2026,כן,מוכן לאישור הנהלה
תפעול,קליטת לקוח חדש לתפעול,קבלת העברה > פתיחת פרופיל > בדיקת מסמכים > תיאום התחלה > סגירה,Pickspace,מנהל תפעול,בתהליך,13/02/2026,לא,נדרש צק ליסט קליטה
תפעול,שיוך משרד או חלל,בדיקת זמינות > שיוך > עדכון מערכת > הודעה ללקוח > אישור,Pickspace,מנהל תפעול,חדש,13/02/2026,לא,להגדיר הרשאות שיוך
תפעול,ניהול קריאות שירות,פתיחת קריאה > תעדוף > טיפול > אימות פתרון > סגירה,מערכת שירות + Monday,מנהל תפעול,בתהליך,13/02/2026,לא,למדוד זמן תגובה
תפעול,ניהול הזמנות חדרים,בקשה > בדיקת זמינות > אישור > חיוב > תיעוד,Pickspace,מנהל תפעול,חדש,13/02/2026,לא,להוסיף תזכורת אוטומטית
הנהלה,בקרה חודשית יעדים וKPI,איסוף KPI > השוואה ליעד > ניתוח פערים > החלטות > מעקב ביצוע,BI + Dashboard,נדב,בתהליך,13/02/2026,כן,הכנה לישיבת הנהלה
